model,env,error_type,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
smollm2-360m,toolshed,missing_argument,copy,14.072376457544474,9.978705347453554,17.43841667384482,13,12,2.002215586679098,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,missing_argument,sem,1.3236613869667053,0.7858888292312622,2.0206257246434687,13,12,1.143803570637236,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,permission_error,G,-43.04043823939104,-44.87247366985449,-41.257817509655766,13,13,-12.527451874355322,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,permission_error,copy,39.72494424306429,37.57849906132772,41.98674534238302,13,13,9.524346164095933,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,permission_error,sem,3.31549399632674,2.6500928547519904,3.963745547143312,13,13,2.8260191881011747,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,type_error,G,-11.241194686064354,-12.587671610884941,-9.847368656500027,13,13,-4.181149220041401,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,type_error,copy,9.21010432105798,8.069378821781049,10.417076256183478,13,13,3.9928310814256136,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,type_error,sem,2.0310903650063734,1.7274070386703197,2.325038317590952,13,13,3.49895712802068,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,unexpected_argument,G,-12.27361099078105,-16.370322677951595,-8.849924078239848,13,13,-1.753795816755706,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,unexpected_argument,copy,10.000294978802021,6.204257310353793,13.916823358719162,13,13,1.3701810073486476,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,unexpected_argument,sem,2.2733160119790297,0.9332940540061547,3.5675441503524774,13,13,0.9056782041217892,0.001,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,unknown_tool,G,-13.468582719564438,-18.87688656635582,-9.040395670455126,13,10,-1.5940024116639353,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,unknown_tool,copy,10.265338333753439,6.883561266227984,14.346331223845482,13,10,1.5881761528384892,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
smollm2-360m,toolshed,unknown_tool,sem,3.203244385810999,1.6739767913389336,4.923011455627588,13,10,1.1807876348779083,0.0005,SmolLM2,SmolLM2-360M,0.362,8.558708570533165
