model,env,harness,metric,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen2.5-0.5b,toolshed,verbatim+ban,truncated_rate,0.041666666666666664,0.006944444444444444,0.09027777777777778,24,24,0.37000643495047747,0.025,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,prose_rate,0.22222222222222224,0.09722222222222222,0.36111111111111116,24,24,0.6618876325292974,0.0002,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+ban,seconds,27.517299006382625,19.63236289769411,35.73771573131283,24,24,1.3380222323083373,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,solved,0.5833333333333334,0.375,0.7916666666666666,24,24,1.1583033569262704,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,stuck,0.16666666666666666,0.041666666666666664,0.3333333333333333,24,24,0.4377975178854565,0.0288,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,exact_repeat_rate,0.24444444444444446,0.07777777777777778,0.4222222222222222,12,12,0.7681030331300263,0.0036,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,canonical_repeat_rate,0.24444444444444446,0.07777777777777778,0.4222222222222222,12,12,0.7681030331300263,0.0036,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,ok_call_rate,0.7361111111111112,0.607638888888889,0.8576388888888888,24,24,2.2929742954930106,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,n_steps,3.2083333333333335,2.2916666666666665,4.125,24,24,1.34971270182636,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,gen_tokens,46.875,31.707291666666666,64.08333333333333,24,24,1.1249145097457656,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,prompt_tokens,2210.2083333333335,1527.8218749999999,2900.2145833333334,24,24,1.2523039353948942,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,prompt_tokens_per_step,645.8611111111111,621.3541666666666,670.6552083333332,24,24,10.236277161182999,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,truncated_rate,0.041666666666666664,0.0,0.11805555555555557,24,24,0.2422260708259024,0.246,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,prose_rate,0.10416666666666667,0.013888888888888888,0.20833333333333334,24,24,0.4093174715801813,0.024,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,verbatim+instr,seconds,39.893381575743355,26.755083426336448,54.362105056891835,24,24,1.125907693374672,0.0001,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
