model,env,operator,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen2.5-0.5b,toolshed,hallucinated_entity,sem,1.7580121572201068,-0.14241437144004382,3.814820804160374,13,13,0.4721197357189819,0.076,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,name_for_email,G,-10.740988863839043,-12.837677040365007,-8.720921952856912,9,9,-3.1784632293471313,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,name_for_email,copy,5.0408236847983465,2.456420590149032,8.023609335223833,9,9,1.1079823309455445,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,name_for_email,sem,5.700165179040697,3.6350890152984197,7.18173075152768,9,9,1.9950273582596783,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,readonly_target,G,-37.91243666868944,-42.362770998707184,-33.881283288964866,13,13,-4.648218590229182,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,readonly_target,copy,32.20198384156594,27.99450890393211,36.82717292859004,13,13,3.7780689738619864,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,readonly_target,sem,5.710452827123495,5.247132671509799,6.129841221410494,13,13,6.749371859162489,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,tool_typo,G,-9.75645599113061,-12.315868046979109,-7.364042823790359,13,10,-2.1976523070479606,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,tool_typo,copy,4.1055072374068775,-0.7488515510835818,8.886377705519015,13,10,0.4826516881207767,0.102,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,tool_typo,sem,5.650948753723731,2.962051339969039,8.529317639966806,13,10,1.120893492795698,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,type_swap,G,-0.7109688566281245,-3.190343693643808,1.801240301103545,13,13,-0.14606931944171114,0.603,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,type_swap,copy,-3.589191890679873,-5.913766005491981,-1.235329225859963,13,13,-0.7946815632109445,0.0005,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen2.5-0.5b,toolshed,type_swap,sem,4.300160747307998,-0.4200789199425624,8.928970125088322,13,13,0.4677423824597115,0.07,Qwen2.5,Qwen2.5-0.5B,0.494,8.693726948923647
qwen3-0.6b,toolshed,arg_typo,G,-9.068893082757397,-13.418827336396895,-5.491627818026415,11,11,-1.2849593039398823,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,arg_typo,copy,10.641946965003047,6.012739694083046,15.579507345099803,11,11,1.2724063097518106,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,arg_typo,sem,-1.5730538822456517,-6.47691261107102,3.0505116325803097,11,11,-0.1899760746684057,0.459,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,date_format,G,-21.954419776124674,-26.4583928230736,-16.857605796801444,9,9,-2.7493680266876415,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,date_format,copy,20.524514354920637,13.853098539230674,26.234991326401683,9,9,1.9776106664098538,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,date_format,sem,1.4299054212040372,-0.8440878071718746,3.590146162278122,9,9,0.3861347425774438,0.211,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,drop_arg,G,-22.653396050807917,-24.700372016761037,-19.293332363530578,9,9,-4.565836474866028,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,drop_arg,copy,19.048280712268834,14.618726300520617,22.762965384787982,9,9,2.7911895753552898,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,drop_arg,sem,3.605115338539084,1.7307811439865166,5.38437983785342,9,9,1.2046018921867716,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,hallucinated_entity,G,-22.713256699003978,-26.929194402527354,-18.267560789536223,8,8,-3.492530548270553,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,hallucinated_entity,copy,22.44699551301892,15.548824464378413,28.13934967466193,8,8,2.3608546664015573,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,hallucinated_entity,sem,0.26626118598505855,-2.6138980838586576,3.441272945259697,8,8,0.05797066461854643,0.831,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,name_for_email,G,-26.34627699426242,-31.51791955743517,-21.15727244956153,7,7,-3.5103914422801306,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,name_for_email,copy,17.568852626851626,11.686619873557772,22.709668815135956,7,7,2.1771107877129587,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,name_for_email,sem,8.777424367410797,7.193511865500893,10.196201471611856,7,7,3.8994272353769275,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,readonly_target,G,-51.925957188010216,-52.85999748855829,-51.09443036448211,8,8,-36.523721310746325,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,readonly_target,copy,48.371565219547065,46.802350401213126,49.97410659385579,7,7,21.164117932881556,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,readonly_target,sem,3.4369293994137218,2.628121415419238,4.239243542988386,7,7,2.8928879926364828,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,tool_typo,G,-16.05968852096703,-19.853964478750797,-13.157097022049129,8,7,-2.6412381296677867,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,tool_typo,copy,12.059050604817457,8.772027993062512,16.470759873677576,8,7,1.736003043576749,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,tool_typo,sem,4.0006379161495715,2.6708233235403895,5.693926188512705,8,7,1.7178793807480934,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,type_swap,G,-6.319119776017033,-11.77037734489495,-1.330893224711329,8,8,-0.8050627270072039,0.006,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
